B B B,2870 3651 22 2959306617,€,45,4321
A A A,2870 3651 22 2959306617,€,1041,1234
JORDI BLANCH SALGADO,2870 3651 22 2959306617,€,0,1111
C C C,2870 3651 22 2959306617,eur,500,1111
D D D,2870 3651 22 2959306617,$,250,1111
FLUKA,2870 3651 22 2959306617,eur,250,1111
AA AA AA,2870 3651 22 2959306617,€,0,1234
AA AA A,2870 3651 22 2959306617,@,0,1234
AA AA A,2870 3651 22 2959306617,€,0,1234
A A A,2870 3651 22 2959306617,€,0,1234
EMPRESA2,2870 3651 22 2959306617,€,0,1234
empresa1,2870 3651 22 2959306617,€,10,1234
